epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2031.69,0.31762,8.39324,1.81461,0.55086,0.61312,0.59318,0.30706,0.36167,8.0219,2.15584,0.0671082,0.00033224,0.00033224
2,4155.81,0.32933,8.58709,1.88991,0.63295,0.52518,0.51957,0.24128,0.40685,9.25812,2.28921,0.0341038,0.000661181,0.000661181
3,6092.12,0.33032,8.3051,1.90326,0.63272,0.48546,0.49666,0.20875,0.43125,10.1091,2.4336,0.00109501,0.000985722,0.000985722
4,8017.45,0.33774,8.53839,1.9237,0.77933,0.56773,0.65269,0.30194,0.40187,8.17706,2.17757,0.0009802,0.0009802,0.0009802
5,9921.27,0.33112,8.19226,1.90693,0.71018,0.55582,0.62063,0.29981,0.37751,8.89839,2.09072,0.0009736,0.0009736,0.0009736
6,11813.6,0.31711,7.64354,1.84322,0.62683,0.65426,0.5611,0.26315,0.37911,7.50578,2.10403,0.000967,0.000967,0.000967
7,13732.4,0.30859,7.18132,1.79377,0.72491,0.59184,0.6485,0.3436,0.34979,7.20782,2.02845,0.0009604,0.0009604,0.0009604
8,15631.7,0.30211,7.0963,1.77422,0.75041,0.56312,0.62578,0.32438,0.35391,7.59899,1.97679,0.0009538,0.0009538,0.0009538
9,1899.96,0.31433,7.13082,1.84355,0.69104,0.6005,0.60022,0.28268,0.39369,8.48819,2.22307,0.0009472,0.0009472,0.0009472
10,1814.96,0.3226,7.04839,1.99121,0.63815,0.64645,0.61926,0.31373,0.36179,7.9376,2.12739,0.0009406,0.0009406,0.0009406
11,3745.89,0.31024,6.83448,1.81883,0.67227,0.68273,0.70045,0.37235,0.36702,5.97361,2.06012,0.000934,0.000934,0.000934
12,6397.46,0.29963,6.48409,1.77916,0.7118,0.56955,0.57342,0.27207,0.41651,7.32987,2.36233,0.0009274,0.0009274,0.0009274
13,8476.39,0.29663,6.45985,1.75938,0.66384,0.68298,0.67785,0.33687,0.37129,6.60428,2.07983,0.0009208,0.0009208,0.0009208
14,1641.03,0.28897,5.91524,1.72944,0.66621,0.68298,0.67805,0.37926,0.34661,6.23633,1.94971,0.0009142,0.0009142,0.0009142
15,3566.64,0.28734,5.85115,1.71237,0.75235,0.69362,0.68791,0.3652,0.36956,6.6077,2.08086,0.0009076,0.0009076,0.0009076
16,5655.77,0.2798,5.57872,1.6853,0.73213,0.68232,0.64693,0.32228,0.40862,7.09295,2.26489,0.000901,0.000901,0.000901
17,7870.9,0.28543,5.68747,1.69773,0.83526,0.74014,0.76601,0.39463,0.35354,5.67596,1.93999,0.0008944,0.0008944,0.0008944
18,9869.74,0.28665,6.01508,1.70026,0.76177,0.66631,0.7266,0.38804,0.34977,6.41998,1.92706,0.0008878,0.0008878,0.0008878
19,11889.2,0.28201,5.78782,1.68038,0.82613,0.64362,0.75094,0.37115,0.35876,6.24169,2.03109,0.0008812,0.0008812,0.0008812
20,1948.33,0.28441,5.63198,1.71256,0.75605,0.62837,0.67842,0.39079,0.33957,6.22683,1.98537,0.0008746,0.0008746,0.0008746
21,3905.94,0.27161,5.2853,1.64315,0.74314,0.69965,0.70448,0.37772,0.36189,6.09476,2.03894,0.000868,0.000868,0.000868
22,5852,0.26734,4.9926,1.62798,0.74959,0.66682,0.67322,0.35351,0.37552,6.07409,2.13157,0.0008614,0.0008614,0.0008614
23,7792.56,0.27274,5.04586,1.64261,0.76778,0.67803,0.70613,0.3575,0.37689,5.97529,2.056,0.0008548,0.0008548,0.0008548
